"File","Extension","File Path","Filename","File Size","Container Format","Codec","Codec Long Name","Profile","Level","Bitrate","Width","Height","Color Space","Color Primaries","Color Transfer","Color Range","Chroma Location","Field Order","Refs","Bits per Raw Sample","Pixel Format","HDR","Bit Depth","Duration","Frame Rate","Audio Codecs","Audio Codec Long Names","Audio Channels","Audio Sample Rates","Audio Bitrates","Audio Bit Depth","Audio Stream Count","Subtitle Languages","Subtitle Formats","Subtitle Stream Count","Creation Date","Modification Date","Issue Detected","Issue Description"
"/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv","mkv","/Volumes/media/media/movies/300 (2007)","300 (2007) Bluray-2160p.mkv","6260778527","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","7156971","3840","1600","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","6998.243000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A","subrip, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","40","1660633460.141431","1660633460.141431","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 3840x1600 && High bit depth video: 10-bit && High number of subtitle streams: 40"
"/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/A Beautiful Mind (2001)","A Beautiful Mind (2001) Remux-1080p.mkv","7964309561","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","7835988","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","8131.007000","23.976","dts, ac3, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 2, 2","48000, 48000, 48000","N/A, 192000, 192000","24, N/A, N/A","3","eng, eng, dan, dut, fin, fre, ger, ita, nor, spa, swe","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","11","1724686367.0117967","1724686367.0117967","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High number of subtitle streams: 11"
"/Volumes/media/media/movies/A Bug's Life (1998)/A Bug's Life (1998) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/A Bug's Life (1998)","A Bug's Life (1998) WEBDL-2160p SDR Handbrake.mkv","13880655188","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","18911318","3840","1632","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","5871.893000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723432890.0129218","1723432890.0129218","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1632"
"/Volumes/media/media/movies/Air (2023)/Air (2023) WEBDL-2160p.mp4","mp4","/Volumes/media/media/movies/Air (2023)","Air (2023) WEBDL-2160p.mp4","17408702620","mov,mp4,m4a,3gp,3g2,mj2","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","20330906","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","6850.143333","24.000","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","576000","N/A","1","eng, eng, ara, zho, zho, ces, dan, nld, fil, fin, fra, fra, deu, ell, heb, hin, hun, ind, ita, jpn, kan, kor, msa, mal, nob, pol, por, por, ron, rus, spa, eus, cat, spa, glg, swe, tam, tel, tha, tur, ukr, vie","mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text","42","1684959948.6241567","1684959948.6241567","Yes","High bitrate (20.33 Mbps) may cause buffering && High bit depth video: 10-bit && High number of subtitle streams: 42"
"/Volumes/media/media/movies/Aladdin (1992)/Aladdin (1992) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Aladdin (1992)","Aladdin (1992) WEBDL-2160p.mkv","11774630787","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17322256","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","5437.920000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, cze, dan, ger, gre, spa, fin, fre, hun, ice, ita, jpn, kor, dut, nor, pol, por, por, rum, slo, swe, tur, chi, chi, chi, fre","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","27","1710271237.0","1710271237.0","Yes","High bit depth video: 10-bit && High number of subtitle streams: 27"
"/Volumes/media/media/movies/Ali G Indahouse (2002)/Ali G Indahouse (2002) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/Ali G Indahouse (2002)","Ali G Indahouse (2002) Remux-1080p.mkv","6217105485","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","9516417","1920","1080","bt709","bt709","bt709","tv","left","progressive","1","N/A","yuv420p","No","N/A","5226.425000","23.976","dts, dts, dts, dts, ac3","DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6, 6, 6, 6","48000, 48000, 48000, 48000, 48000","N/A, 1536000, N/A, 1536000, 448000","16, N/A, 16, N/A, N/A","5","deu, deu, deu","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","3","1724548363.7182643","1724548363.7182643","Yes","Non-standard audio codec(s): dts, dts, dts, dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Multiple audio streams: 5"
"/Volumes/media/media/movies/Alice in Wonderland (1951)/Alice in Wonderland (1951) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Alice in Wonderland (1951)","Alice in Wonderland (1951) Bluray-1080p.mkv","5436481227","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","9630203","1424","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4516.192000","23.976","dts, dts, ac3, ac3, ac3, ac3, ac3","DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 6, 6, 6, 6, 6","48000, 48000, 48000, 48000, 48000, 48000, 48000","N/A, 1536000, 640000, 640000, 640000, 640000, 640000","24, N/A, N/A, N/A, N/A, N/A, N/A","7","eng, eng, swe, fin, nor, dan, ice","dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle","7","1724546078.8557477","1724546078.8557477","Yes","Non-standard audio codec(s): dts, dts && Potentially problematic subtitle format(s): dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle && Non-standard resolution: 1424x1080 && High number of subtitle streams: 7 && Multiple audio streams: 7"
"/Volumes/media/media/movies/Amistad (1997)/Amistad (1997) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Amistad (1997)","Amistad (1997) WEBDL-2160p.mkv","17852937681","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","15386855","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","9282.176000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng","subrip","1","1622067843.0","1622067843.0","No","No issues detected"
"/Volumes/media/media/movies/Ant-Man (2015)/Ant-Man (2015) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Ant-Man (2015)","Ant-Man (2015) Remux-2160p SDR Handbrake.mkv","17124188124","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19496941","3840","2076","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7026.410000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723481017.2919996","1723481017.2919996","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x2076"
"/Volumes/media/media/movies/Ant-Man and the Wasp Quantumania (2023)/Ant-Man and the Wasp Quantumania (2023) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Ant-Man and the Wasp Quantumania (2023)","Ant-Man and the Wasp Quantumania (2023) Remux-2160p SDR Handbrake.mkv","17886493128","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19157312","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7469.312000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723490301.9181783","1723490301.9181783","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Asteroid City (2023)/Asteroid City (2023) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Asteroid City (2023)","Asteroid City (2023) WEBDL-2160p.mkv","5045821202","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","6378062","3840","2160","bt709","bt709","bt709","tv","topleft","progressive","1","N/A","yuv420p10le","No","10","6328.971000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, eng, spa, fre","subrip, subrip, subrip, subrip","4","1689263496.770633","1689263496.770633","Yes","High bit depth video: 10-bit"
"/Volumes/media/media/movies/Atlantis The Lost Empire (2001)/Atlantis The Lost Empire (2001) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Atlantis The Lost Empire (2001)","Atlantis The Lost Empire (2001) Bluray-1080p.mkv","7697397781","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","10704549","1920","816","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5752.618000","23.976","dts, dts, ac3, ac3, ac3, ac3","DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 6, 6, 6, 6","48000, 48000, 48000, 48000, 48000, 48000","N/A, 1536000, 640000, 640000, 640000, 640000","24, N/A, N/A, N/A, N/A, N/A","6","eng, eng, fre, fre, spa, spa, por, por","dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle","8","1724551534.8999238","1724551534.8999238","Yes","Non-standard audio codec(s): dts, dts && Potentially problematic subtitle format(s): dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle && Non-standard resolution: 1920x816 && High number of subtitle streams: 8 && Multiple audio streams: 6"
"/Volumes/media/media/movies/Avengers Age of Ultron (2015)/Avengers Age of Ultron (2015) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Avengers Age of Ultron (2015)","Avengers Age of Ultron (2015) Remux-2160p SDR Handbrake.mkv","20780359615","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19608207","3840","1604","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8478.229000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723547655.0780962","1723547655.0780962","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1604"
"/Volumes/media/media/movies/Babe (1995)/Babe (1995) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/Babe (1995)","Babe (1995) Remux-1080p.mkv","9815282023","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","14235978","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5515.761000","23.976","dts, dts, dts, dts, ac3, ac3, ac3, ac3, ac3, ac3, ac3, ac3, ac3, ac3","DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2","48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000, 48000","N/A, 768000, 768000, 768000, 448000, 448000, 448000, 448000, 448000, 384000, 384000, 384000, 384000, 192000","24, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A","14","eng, chi, cze, dan, dut, fin, fre, ger, gre, hun, ita, jpn, kor, nor, pol, por, por, spa, spa, swe, tha, tur, dan, fin, nor, swe","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, subrip, subrip, subrip, subrip","26","1724686431.5676749","1724686431.5676749","Yes","Non-standard audio codec(s): dts, dts, dts, dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High number of subtitle streams: 26 && Multiple audio streams: 14"
"/Volumes/media/media/movies/Bambi (1942)/Bambi (1942) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Bambi (1942)","Bambi (1942) Bluray-1080p.mkv","1552511818","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","2963826","1456","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4190.560000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 448000","N/A, N/A","2","eng, nor","subrip, ass","2","1724566680.3259432","1724566680.3259432","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1456x1080"
"/Volumes/media/media/movies/Barbie (2023)/Barbie (2023) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Barbie (2023)","Barbie (2023) Remux-2160p SDR Handbrake.mkv","16468773030","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19250797","3840","1920","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","6843.882000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1722998259.7278354","1722998259.7278354","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1920"
"/Volumes/media/media/movies/Batman Begins (2005)/Batman Begins (2005) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Batman Begins (2005)","Batman Begins (2005) Remux-2160p SDR Handbrake.mkv","20414334808","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19433043","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8403.968000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723602767.436627","1723602767.436627","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Beauty and the Beast (1991)/Beauty and the Beast (1991) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Beauty and the Beast (1991)","Beauty and the Beast (1991) WEBDL-2160p SDR Handbrake.mkv","12370163730","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19222895","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","5148.096000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723609959.106714","1723609959.106714","Yes","Unknown metadata: Some file information couldn't be determined"
"/Volumes/media/media/movies/Big Hero 6 (2014)/Big Hero 6 (2014) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Big Hero 6 (2014)","Big Hero 6 (2014) WEBDL-2160p.mkv","13239106094","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17337114","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","6109.024000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, cze, dan, ger, gre, spa, spa, fin, fre, hun, ice, ita, jpn, kor, dut, nor, pol, por, rum, slo, swe, tur, chi, chi, chi","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","26","1709593200.0","1709593200.0","Yes","High bit depth video: 10-bit && High number of subtitle streams: 26"
"/Volumes/media/media/movies/Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020)/Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020)","Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020) WEBDL-2160p.mkv","18553161439","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","22723462","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p10le","No","10","6531.808000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","640000","N/A","1","eng, eng","subrip, subrip","2","1697785929.4362974","1697785929.4362974","Yes","High bitrate (22.72 Mbps) may cause buffering && High bit depth video: 10-bit"
"/Volumes/media/media/movies/Black Box (2020)/Black Box (2020) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Black Box (2020)","Black Box (2020) WEBDL-2160p SDR Handbrake.mkv","14548282020","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19249599","3840","1594","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","6046.165000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723616633.515124","1723616633.515124","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1594"
"/Volumes/media/media/movies/Black Hawk Down (2001)/Black Hawk Down (2001) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Black Hawk Down (2001)","Black Hawk Down (2001) Remux-2160p SDR Handbrake.mkv","21960879775","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19283686","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9110.656000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723010859.2697468","1723010859.2697468","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Black Panther Wakanda Forever (2022)/Black Panther Wakanda Forever (2022) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Black Panther Wakanda Forever (2022)","Black Panther Wakanda Forever (2022) WEBDL-2160p SDR Handbrake.mkv","23921247004","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19772240","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9678.720000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723709797.8443952","1723709797.8443952","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Blood Diamond (2006)/Blood Diamond (2006) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/Blood Diamond (2006)","Blood Diamond (2006) Remux-1080p.mkv","7995777065","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","7436337","1920","1080","bt709","bt709","bt709","tv","left","progressive","1","N/A","yuv420p","No","N/A","8601.844000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 2","48000, 48000","N/A, 192000","16, N/A","2","eng, eng, eng, ara, bul, hrv, cze, dan, dut, est, fin, fre, ger, ger, gre, heb, hun, ita, ita, lav, lit, nor, pol, por, rum, rus, srp, spa, spa, swe, tur, ukr","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","32","1724571265.4985085","1724571265.4985085","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High number of subtitle streams: 32"
"/Volumes/media/media/movies/Bolt (2008)/Bolt (2008) Bluray-1080p Proper.mkv","mkv","/Volumes/media/media/movies/Bolt (2008)","Bolt (2008) Bluray-1080p Proper.mkv","1469381727","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","2033022","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5782.059000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","","","0","1724569798.347552","1724569798.347552","Yes","Unknown metadata: Some file information couldn't be determined"
